refactoring_type,file_path,method_name,class_name,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,166,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/EnumTypeAdapter.java,,EnumTypeAdapter,86,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java,nextJsonElement,JsonTreeReader,26,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java,nextJsonElement,JsonTreeReader,26,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/NumberTypeAdapter.java,,NumberTypeAdapter,22,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ObjectTypeAdapter.java,,ObjectTypeAdapter,26,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,24,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,24,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,33,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,33,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,48,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,48,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,48,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,50,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,50,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,50,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,62,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,90,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,90,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/sql/SqlTimestampTypeAdapter.java,,SqlTimestampTypeAdapter,22,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,15,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,56,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,120,1,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,120,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
