refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Change Variable Type,PsiDocumentManagerImplTest,private,1,2,1,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,2
Rename Variable,PsiDocumentManagerImplTest,private,1,2,1,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,2
Move Code,PsiDocumentManagerImplTest,,55,4,5,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,0
Extract Variable,PsiDocumentManagerImplTest,private,5,4,1,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,2
Change Thrown Exception Type,PsiDocumentManagerImplTest,public,1,1,1,platform/platform-tests/testSrc/com/intellij/psi/impl/PsiDocumentManagerImplTest.java,fa299d562f733d636bd58a58db1db9613322d4cd,16,4
Add Method Annotation,CodeCompletionHandlerBase,public,3,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,882da60d891257a4ec7dcd3de8274a67b1efc8bf,5,4
Add Method Annotation,CodeCompletionHandlerBase,public,6,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,882da60d891257a4ec7dcd3de8274a67b1efc8bf,5,4
Add Parameter Annotation,CodeCompletionHandlerBase,public,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,882da60d891257a4ec7dcd3de8274a67b1efc8bf,5,4
Add Method Annotation,CodeCompletionHandlerBase,public,13,2,2,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,882da60d891257a4ec7dcd3de8274a67b1efc8bf,5,4
Add Parameter Annotation,CompletionPhase,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,5f5b00a7ff86c2b12f5d2092244690b226e75a3f,6,1
Add Parameter Annotation,CompletionPhase,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,5f5b00a7ff86c2b12f5d2092244690b226e75a3f,6,1
Add Parameter Annotation,CodeCompletionHandlerBase,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,3b9fba495ef71321782639cb8cf08a0fce099274,5,2
Add Parameter Annotation,CodeCompletionHandlerBase,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,3b9fba495ef71321782639cb8cf08a0fce099274,5,2
Add Parameter Annotation,CodeCompletionHandlerBase,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,3b9fba495ef71321782639cb8cf08a0fce099274,5,2
Add Parameter Annotation,CodeCompletionHandlerBase,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,3b9fba495ef71321782639cb8cf08a0fce099274,5,2
Add Parameter Annotation,CodeCompletionHandlerBase,private,1,2,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,3b9fba495ef71321782639cb8cf08a0fce099274,5,2
Change Method Access Modifier,CompletionPhase,package,3,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,26aa6dc4def83c2150aa99fce863953a1bd3ccde,6,1
